MapIndex,MapLabel,CV_R2,NumComponents
43,abagen-genepc1,0.404072151939967,1
3,bb_moment1,0.475335826069263,1
28,malen2022-raclopride,0.525103857323692,1
18,gallezot2010-p943,0.54881950640534,1
30,norgaard2021-flumazenil,0.556702192418675,1
2,bb_gradient,0.616813544648513,2
11,beliveau2017-sb207145,0.643725838228372,2
27,lukow2022-ro154513,0.664813824637867,2
48,raichle-cbf,0.679338690177215,2
54,sydnor2021-SAaxis,0.6884318638309,2
12,ding2010-mrb,0.746254622025908,3
49,raichle-cbv,0.748856204710058,3
24,kantonen2020-carfentanil,0.759294394564976,3
16,fazio2016-madam,0.763240385354474,3
37,savli2012-way100635,0.763571881615567,3
38,smart2019-abp688,0.791019846334074,4
31,normandin2015-omar,0.795857107283311,4
42,wey2016-martinostat,0.801920300006848,4
14,dukart2018-flumazenil,0.805467520775659,4
26,lois2018-pbr28,0.809086785351287,4
41,vijay2018-ly2795050,0.825169285353131,5
39,smith2017-flb457,0.830881961124932,5
5,bb_moment3,0.83185855316366,5
7,bb_moment5,0.833285461850411,5
44,hcps1200-myelinmap,0.83426710417299,5
25,kim2020-ps13,0.839430012565167,6
29,naganawa2020-lsn3172176,0.83987317832345,6
15,dukart2018-fpcit,0.840820591373951,6
23,kaller2017-sch23390,0.840918866592555,6
51,raichle-cmrglc,0.841770560896018,6
45,hcps1200-thickness,0.841353501556731,7
4,bb_moment2,0.842003290810077,7
6,bb_moment4,0.842791011724158,7
20,galovic2021-ge179,0.842561127266676,7
50,raichle-cmr02,0.8426511806116,7
10,beliveau2017-dasb,0.845133407926945,8
9,beliveau2017-cimbi36,0.845851173247031,8
8,aghourian2017-feobv,0.846797809038244,8
33,rosaneto-abp688,0.847115790547335,8
40,tuominen-feobv,0.847895805443677,8
55,neurotransmpc1,0.850990332153543,9
35,satterthwaite2014-meancbf,0.850196217849424,9
13,dubois2015-abp688,0.850949327723376,9
32,radnakrishnan2018-gsk215083,0.848971901395995,9
17,finnema2016-ucbj,0.848283776686459,9
21,hillmer2016-flubatine,0.851177211117791,10
46,hill2010-devexp,0.850069678373168,10
47,hill2010-evoexp,0.848413862684264,10
1,struct_hubs_hcp,0.84750134892488,10
53,reardon2018-scalingpnc,0.845885360379202,10
19,gallezot2017-gsk189254,0.852564836523902,11
36,savli2012-dasb,0.851818797733665,11
22,jaworska2020-fallypride,0.848676123791931,11
52,reardon2018-scalingnih,0.846679550777104,11
34,sasaki2012-fepe2i,0.841874902053097,11
